Date,Open,High,Low,Close
11/04/2025,"9,701.40","9,714.96","9,574.15","9,714.96"
11/03/2025,"9,717.26","9,745.64","9,695.92","9,701.37"
10/31/2025,"9,760.06","9,761.82","9,696.96","9,717.25"
10/30/2025,"9,756.13","9,763.42","9,690.02","9,760.06"
10/29/2025,"9,696.77","9,787.63","9,696.75","9,756.14"
10/28/2025,"9,653.83","9,727.09","9,645.42","9,696.74"
10/27/2025,"9,645.59","9,672.74","9,632.83","9,653.82"
10/24/2025,"9,578.57","9,645.62","9,560.52","9,645.62"
10/23/2025,"9,515.00","9,594.82","9,505.72","9,578.57"
10/22/2025,"9,427.05","9,545.23","9,427.05","9,515.00"
10/21/2025,"9,403.57","9,441.24","9,403.50","9,426.99"
10/20/2025,"9,354.54","9,416.44","9,354.54","9,403.57"
10/17/2025,"9,436.11","9,436.11","9,276.91","9,354.57"
10/16/2025,"9,424.76","9,436.09","9,389.65","9,436.09"
10/15/2025,"9,452.75","9,474.31","9,395.05","9,424.75"
10/14/2025,"9,442.94","9,454.29","9,384.24","9,452.77"
10/13/2025,"9,427.46","9,459.89","9,409.67","9,442.87"
10/10/2025,"9,509.42","9,519.96","9,414.59","9,427.47"
10/09/2025,"9,548.93","9,565.49","9,501.09","9,509.40"
10/08/2025,"9,483.56","9,577.08","9,483.55","9,548.87"
10/07/2025,"9,479.13","9,507.11","9,473.11","9,483.58"
10/06/2025,"9,491.22","9,516.83","9,465.42","9,479.14"
10/03/2025,"9,427.74","9,494.64","9,425.03","9,491.25"
10/02/2025,"9,446.44","9,475.07","9,417.62","9,427.73"
10/01/2025,"9,350.46","9,457.91","9,347.59","9,446.43"
09/30/2025,"9,299.84","9,363.57","9,266.29","9,350.43"
09/29/2025,"9,284.82","9,354.61","9,284.82","9,299.84"
09/26/2025,"9,213.97","9,292.11","9,208.52","9,284.83"
09/25/2025,"9,250.43","9,251.15","9,203.17","9,213.98"
09/24/2025,"9,223.34","9,266.43","9,177.09","9,250.43"
09/23/2025,"9,226.70","9,266.87","9,223.32","9,223.32"
09/22/2025,"9,216.67","9,234.60","9,194.32","9,226.68"
09/19/2025,"9,228.11","9,250.99","9,207.70","9,216.67"
09/18/2025,"9,208.37","9,245.24","9,208.33","9,228.11"
09/17/2025,"9,195.66","9,245.70","9,195.66","9,208.37"
09/16/2025,"9,277.03","9,282.13","9,195.66","9,195.66"
09/15/2025,"9,283.29","9,314.42","9,262.67","9,277.03"
09/12/2025,"9,297.58","9,340.70","9,283.29","9,283.29"
09/11/2025,"9,225.39","9,297.58","9,225.39","9,297.58"
09/10/2025,"9,242.53","9,290.55","9,222.35","9,225.39"
09/09/2025,"9,221.44","9,254.30","9,221.44","9,242.53"
09/08/2025,"9,208.21","9,234.91","9,190.55","9,221.44"
09/05/2025,"9,216.87","9,253.53","9,197.56","9,208.21"
09/04/2025,"9,177.99","9,231.42","9,155.50","9,216.87"
09/03/2025,"9,116.69","9,179.62","9,107.40","9,177.99"
09/02/2025,"9,196.34","9,196.46","9,108.23","9,116.69"
09/01/2025,"9,187.34","9,226.57","9,179.83","9,196.34"
08/29/2025,"9,216.82","9,223.14","9,179.18","9,187.34"
08/28/2025,"9,255.50","9,269.95","9,207.39","9,216.82"
08/27/2025,"9,265.80","9,301.86","9,230.61","9,255.50"
08/26/2025,"9,321.40","9,325.94","9,249.61","9,265.80"
08/22/2025,"9,309.20","9,357.51","9,285.64","9,321.40"
08/21/2025,"9,288.14","9,309.20","9,257.45","9,309.20"
08/20/2025,"9,189.22","9,301.19","9,166.76","9,288.14"
08/19/2025,"9,157.74","9,197.12","9,154.81","9,189.22"
08/18/2025,"9,138.90","9,165.67","9,126.88","9,157.74"
08/15/2025,"9,177.24","9,222.07","9,129.52","9,138.90"
08/14/2025,"9,165.23","9,177.24","9,133.73","9,177.24"
08/13/2025,"9,147.81","9,182.74","9,142.37","9,165.23"
08/12/2025,"9,129.71","9,165.03","9,119.42","9,147.81"
08/11/2025,"9,095.73","9,137.70","9,093.18","9,129.71"
08/08/2025,"9,100.77","9,127.13","9,079.94","9,095.73"
08/07/2025,"9,164.31","9,164.31","9,084.54","9,100.77"
08/06/2025,"9,142.73","9,184.19","9,142.73","9,164.31"
08/05/2025,"9,128.30","9,177.95","9,126.62","9,142.73"
08/04/2025,"9,068.58","9,129.10","9,068.07","9,128.30"
08/01/2025,"9,132.81","9,132.81","9,027.94","9,068.58"
07/31/2025,"9,136.94","9,190.73","9,115.78","9,132.81"
